point_id,visit_day,manager,order_in_route
ID140,13,1,9
ID172,14,1,0
ID72,14,1,1
ID498,14,1,2
ID500,14,1,3
ID595,14,1,4
ID501,14,1,5
ID594,14,1,6
ID499,14,1,7
ID621,14,1,8
ID622,14,1,9
ID538,15,1,0
ID537,15,1,1
ID461,15,1,2
ID49,15,1,3
ID137,15,1,4
ID135,15,1,5
ID434,15,1,6
ID569,15,1,7
ID438,15,1,8
ID532,15,1,9
ID445,16,1,0
ID362,16,1,1
ID276,16,1,2
ID280,16,1,3
ID277,16,1,4
ID355,16,1,5
ID356,16,1,6
ID425,16,1,7
ID354,16,1,8
ID301,16,1,9
ID341,17,1,0
ID357,17,1,1
ID358,17,1,2
ID298,17,1,3
ID340,17,1,4
ID26,17,1,5
ID178,17,1,6
ID199,17,1,7
ID198,17,1,8
ID619,17,1,9
ID487,18,1,0
ID331,18,1,1
ID18,18,1,2
ID109,18,1,3
ID240,18,1,4
ID66,18,1,5
ID242,18,1,6
ID297,18,1,7
ID121,18,1,8
ID348,18,1,9
ID472,19,1,0
ID322,19,1,1
ID614,19,1,2
ID466,19,1,3
ID381,19,1,4
ID260,19,1,5
ID261,19,1,6
ID94,19,1,7
ID95,19,1,8
ID203,19,1,9
ID228,20,1,0
ID229,20,1,1
ID125,20,1,2
ID147,20,1,3
ID148,20,1,4
ID233,20,1,5
ID231,20,1,6
ID479,20,1,7
ID480,20,1,8
ID477,20,1,9
ID562,21,1,0
ID563,21,1,1
ID561,21,1,2
ID603,21,1,3
ID491,21,1,4
ID489,21,1,5
ID111,21,1,6
ID112,21,1,7
ID44,21,1,8
ID48,21,1,9
ID4,22,1,0
ID177,1,2,0
ID239,1,2,1
ID67,1,2,2
ID69,1,2,3
ID70,1,2,4
ID238,1,2,5
ID169,1,2,6
ID244,1,2,7
ID496,1,2,8
ID606,1,2,9
ID494,2,2,0
ID509,2,2,1
ID43,2,2,2
ID585,2,2,3
ID583,2,2,4
ID582,2,2,5
ID435,2,2,6
ID514,2,2,7
ID626,2,2,8
ID515,2,2,9
ID516,3,2,0
ID30,3,2,1
ID5,3,2,2
ID2,3,2,3
ID235,3,2,4
ID153,3,2,5
ID151,3,2,6
ID123,3,2,7
ID451,3,2,8
ID185,3,2,9
ID90,4,2,0
ID187,4,2,1
ID288,4,2,2
ID426,4,2,3
ID97,4,2,4
ID286,4,2,5
ID32,4,2,6
ID577,4,2,7
ID555,4,2,8
ID576,4,2,9
ID165,5,2,0
ID211,5,2,1
ID76,5,2,2
ID208,5,2,3
ID376,5,2,4
ID398,5,2,5
ID270,5,2,6
ID216,5,2,7
ID215,5,2,8
ID597,5,2,9
ID545,6,2,0
ID573,6,2,1
ID25,6,2,2
ID13,6,2,3
ID28,6,2,4
ID14,6,2,5
ID328,6,2,6
ID617,6,2,7
ID396,6,2,8
ID486,6,2,9
ID395,7,2,0
ID324,7,2,1
ID132,7,2,2
ID156,7,2,3
ID101,7,2,4
ID192,7,2,5
ID131,7,2,6
ID412,7,2,7
ID315,7,2,8
ID411,7,2,9
ID630,8,2,0
ID513,8,2,1
ID543,8,2,2
ID568,8,2,3
ID134,8,2,4
ID31,8,2,5
ID375,8,2,6
ID431,8,2,7
ID294,8,2,8
ID251,8,2,9
ID254,9,2,0
ID52,9,2,1
ID171,9,2,2
ID139,9,2,3
ID482,9,2,4
ID565,9,2,5
ID525,9,2,6
ID336,9,2,7
ID285,9,2,8
ID432,9,2,9
ID421,10,2,0
ID334,10,2,1
ID385,10,2,2
ID284,10,2,3
ID338,10,2,4
ID391,10,2,5
ID417,10,2,6
ID306,10,2,7
ID418,10,2,8
ID420,10,2,9
ID305,11,2,0
ID419,11,2,1
ID188,11,2,2
ID88,11,2,3
ID159,11,2,4
ID128,11,2,5
ID129,11,2,6
ID518,11,2,7
ID245,11,2,8
ID71,11,2,9
ID175,12,2,0
ID141,12,2,1
ID384,12,2,2
ID174,12,2,3
ID54,12,2,4
ID59,12,2,5
ID592,12,2,6
ID593,12,2,7
ID508,12,2,8
ID458,12,2,9
ID540,13,2,0
ID463,13,2,1
ID539,13,2,2
ID464,13,2,3
ID536,13,2,4
ID462,13,2,5
ID460,13,2,6
ID45,13,2,7
ID448,13,2,8
ID450,13,2,9
ID550,14,2,0
ID257,14,2,1
ID136,14,2,2
ID250,14,2,3
ID138,14,2,4
ID258,14,2,5
ID253,14,2,6
ID530,14,2,7
ID531,14,2,8
ID586,14,2,9
ID556,15,2,0
ID205,15,2,1
ID361,15,2,2
ID275,15,2,3
ID273,15,2,4
ID365,15,2,5
ID369,15,2,6
ID367,15,2,7
ID274,15,2,8
ID302,15,2,9
ID303,16,2,0
ID311,16,2,1
ID320,16,2,2
ID310,16,2,3
ID424,16,2,4
ID360,16,2,5
ID352,16,2,6
ID359,16,2,7
ID197,16,2,8
ID105,16,2,9
ID200,17,2,0
ID179,17,2,1
ID181,17,2,2
ID104,17,2,3
ID108,17,2,4
ID96,17,2,5
ID106,17,2,6
ID81,17,2,7
ID107,17,2,8
ID103,17,2,9
ID332,18,2,0
ID488,18,2,1
ID23,18,2,2
ID33,18,2,3
ID64,18,2,4
ID65,18,2,5
ID471,18,2,6
ID347,18,2,7
ID533,18,2,8
ID190,18,2,9
ID535,19,2,0
ID469,19,2,1
ID371,19,2,2
ID612,19,2,3
ID372,19,2,4
ID470,19,2,5
ID613,19,2,6
ID485,19,2,7
ID615,19,2,8
ID262,19,2,9
ID383,20,2,0
ID382,20,2,1
ID263,20,2,2
ID149,20,2,3
ID230,20,2,4
ID227,20,2,5
ID126,20,2,6
ID234,20,2,7
ID559,20,2,8
ID478,20,2,9
ID474,21,2,0
ID407,21,2,1
ID604,21,2,2
ID490,21,2,3
ID492,21,2,4
ID110,21,2,5
ID223,21,2,6
ID113,21,2,7
ID40,21,2,8
ID46,21,2,9
ID41,22,2,0
